stack,concurrency,rps,p50_ms,p90_ms,p99_ms,p999_ms,max_ms,total_ok,total_err
go-pgx,1,4188,0.233,0.263,0.359,0.650,6.408,251282,0
go-pgx,8,16508,0.397,0.716,2.466,4.258,13.569,990508,0
go-pgx,32,24301,1.121,2.214,4.578,6.522,14.872,1458043,0
go-pgx,64,25976,2.174,3.781,6.200,8.497,20.556,1558572,0
go-pgx,128,25718,4.715,6.650,9.082,12.014,33.171,1543078,0
kotlin-vertx,1,5056,0.193,0.210,0.277,0.435,5.704,303336,0
kotlin-vertx,8,20778,0.370,0.419,0.587,3.504,42.455,1246706,0
kotlin-vertx,32,14627,2.247,2.288,3.432,6.474,19.108,877611,0
kotlin-vertx,64,22729,2.730,3.248,5.783,9.845,29.090,1363718,0
kotlin-vertx,128,22149,5.567,6.349,11.873,17.261,47.337,1328921,0
