stack,concurrency,mode,rps,p50_ms,p90_ms,p99_ms,p999_ms,max_ms,total_ok,total_err,write_rps,write_p50_ms,write_p99_ms,read_rps,read_p50_ms,read_p99_ms
go-pgx,1,exectx,1396,0.675,0.729,0.886,1.339,628.439,25126,0,1396,0.675,0.886,0,0.000,0.000
go-pgx,8,exectx,6310,1.206,1.552,2.383,6.340,17.263,113572,0,6310,1.206,2.383,0,0.000,0.000
go-pgx,32,exectx,8343,3.676,5.020,7.175,9.522,51.037,150181,0,8343,3.676,7.175,0,0.000,0.000
go-pgx,64,exectx,8294,7.481,9.609,12.009,14.944,68.401,149302,0,8294,7.481,12.009,0,0.000,0.000
go-pgx,128,exectx,8214,15.208,18.060,20.389,25.030,75.633,147852,0,8214,15.208,20.389,0,0.000,0.000
rust-tokio,1,exectx,1353,0.747,0.833,0.954,1.359,6.571,24354,0,1353,0.747,0.954,0,0.000,0.000
rust-tokio,8,exectx,7515,1.035,1.225,1.458,6.074,7.749,135264,0,7515,1.035,1.458,0,0.000,0.000
rust-tokio,32,exectx,11128,2.834,3.332,4.081,8.131,16.443,200318,0,11128,2.834,4.081,0,0.000,0.000
rust-tokio,64,exectx,11284,5.619,6.302,7.486,11.535,16.917,203115,15,11284,5.619,7.486,0,0.000,0.000
rust-tokio,128,exectx,11278,11.263,12.127,15.052,16.974,19.518,203008,0,11278,11.263,15.052,0,0.000,0.000
spring-vt,1,exectx,1309,0.725,0.879,1.128,3.519,7.032,23564,0,1309,0.725,1.128,0,0.000,0.000
spring-vt,8,exectx,5495,1.309,1.955,3.506,6.477,9.569,98907,0,5495,1.309,3.506,0,0.000,0.000
spring-vt,32,exectx,7788,3.605,6.281,9.792,13.061,23.674,140184,0,7788,3.605,9.792,0,0.000,0.000
spring-vt,64,exectx,7030,8.281,13.754,19.865,26.840,46.391,126536,0,7030,8.281,19.865,0,0.000,0.000
spring-vt,128,exectx,6515,17.964,29.230,41.527,55.690,101.844,117273,0,6515,17.964,41.527,0,0.000,0.000
