epoch,iso,http_code,latency_ms
1782550482,2026-06-27T08:54:42Z,200,311.3
1782550483,2026-06-27T08:54:43Z,200,4.6
1782550484,2026-06-27T08:54:44Z,200,4.5
1782550485,2026-06-27T08:54:45Z,200,5.6
1782550486,2026-06-27T08:54:46Z,200,3.6
1782550487,2026-06-27T08:54:47Z,200,10.2
1782550488,2026-06-27T08:54:48Z,200,4.5
1782550489,2026-06-27T08:54:49Z,200,6.2
1782550490,2026-06-27T08:54:50Z,200,6.2
1782550491,2026-06-27T08:54:51Z,200,6.3
1782550492,2026-06-27T08:54:52Z,200,5.1
1782550493,2026-06-27T08:54:53Z,200,3.6
1782550494,2026-06-27T08:54:54Z,200,5.3
1782550495,2026-06-27T08:54:55Z,200,3.8
1782550496,2026-06-27T08:54:56Z,200,8.9
1782550497,2026-06-27T08:54:57Z,200,4.6
1782550498,2026-06-27T08:54:58Z,200,8.6
1782550499,2026-06-27T08:54:59Z,200,5.5
1782550500,2026-06-27T08:55:00Z,200,6.9
1782550501,2026-06-27T08:55:01Z,200,4.8
1782550502,2026-06-27T08:55:02Z,200,5.8
1782550503,2026-06-27T08:55:03Z,200,4.2
1782550505,2026-06-27T08:55:05Z,200,6.6
1782550506,2026-06-27T08:55:06Z,200,4.6
1782550507,2026-06-27T08:55:07Z,200,3.6
1782550508,2026-06-27T08:55:08Z,200,7.8
1782550509,2026-06-27T08:55:09Z,200,3.7
1782550510,2026-06-27T08:55:10Z,200,6.3
1782550511,2026-06-27T08:55:11Z,200,6.1
1782550512,2026-06-27T08:55:12Z,200,5.9
1782550513,2026-06-27T08:55:13Z,200,3.7
1782550514,2026-06-27T08:55:14Z,200,5.1
1782550515,2026-06-27T08:55:15Z,200,7.0
1782550516,2026-06-27T08:55:16Z,200,2.9
1782550517,2026-06-27T08:55:17Z,200,3.2
1782550518,2026-06-27T08:55:18Z,200,2.8
1782550519,2026-06-27T08:55:19Z,200,5.5
1782550520,2026-06-27T08:55:20Z,200,3.3
1782550521,2026-06-27T08:55:21Z,200,3.8
1782550522,2026-06-27T08:55:22Z,200,3.6
1782550523,2026-06-27T08:55:23Z,200,6.3
1782550524,2026-06-27T08:55:24Z,200,4.6
1782550525,2026-06-27T08:55:25Z,200,3.3
1782550526,2026-06-27T08:55:26Z,200,3.8
1782550527,2026-06-27T08:55:27Z,200,6.9
1782550528,2026-06-27T08:55:28Z,200,3.1
1782550529,2026-06-27T08:55:29Z,200,9.0
1782550530,2026-06-27T08:55:30Z,200,5.5
1782550531,2026-06-27T08:55:31Z,200,7.7
1782550532,2026-06-27T08:55:32Z,200,6.9
1782550533,2026-06-27T08:55:33Z,200,7.5
1782550534,2026-06-27T08:55:34Z,200,9.7
1782550535,2026-06-27T08:55:35Z,200,5.7
1782550536,2026-06-27T08:55:36Z,200,3.8
1782550537,2026-06-27T08:55:37Z,200,7.8
1782550539,2026-06-27T08:55:39Z,200,5.8
1782550540,2026-06-27T08:55:40Z,200,5.4
1782550541,2026-06-27T08:55:41Z,200,4.7
1782550542,2026-06-27T08:55:42Z,200,3.1
1782550543,2026-06-27T08:55:43Z,200,3.2
1782550544,2026-06-27T08:55:44Z,200,2.9
1782550545,2026-06-27T08:55:45Z,200,4.6
1782550546,2026-06-27T08:55:46Z,200,6.2
1782550547,2026-06-27T08:55:47Z,200,4.2
1782550548,2026-06-27T08:55:48Z,200,5.4
1782550549,2026-06-27T08:55:49Z,200,6.5
1782550550,2026-06-27T08:55:50Z,200,4.3
1782550551,2026-06-27T08:55:51Z,200,2.6
1782550552,2026-06-27T08:55:52Z,200,3.8
1782550553,2026-06-27T08:55:53Z,200,3.3
1782550554,2026-06-27T08:55:54Z,200,3.5
1782550555,2026-06-27T08:55:55Z,200,6.3
1782550556,2026-06-27T08:55:56Z,200,4.2
1782550557,2026-06-27T08:55:57Z,200,4.4
1782550558,2026-06-27T08:55:58Z,200,5.5
1782550559,2026-06-27T08:55:59Z,200,4.9
1782550560,2026-06-27T08:56:00Z,200,5.6
1782550561,2026-06-27T08:56:01Z,200,6.9
1782550562,2026-06-27T08:56:02Z,200,2.9
1782550563,2026-06-27T08:56:03Z,200,5.9
1782550564,2026-06-27T08:56:04Z,200,5.0
1782550565,2026-06-27T08:56:05Z,200,2.1
1782550566,2026-06-27T08:56:06Z,200,5.4
1782550567,2026-06-27T08:56:07Z,200,2.6
1782550568,2026-06-27T08:56:08Z,200,6.4
1782550569,2026-06-27T08:56:09Z,200,4.9
1782550570,2026-06-27T08:56:10Z,200,3.2
1782550571,2026-06-27T08:56:11Z,200,5.2
1782550572,2026-06-27T08:56:13Z,200,2.9
1782550574,2026-06-27T08:56:14Z,200,3.5
1782550575,2026-06-27T08:56:15Z,200,3.9
1782550576,2026-06-27T08:56:16Z,200,4.2
1782550577,2026-06-27T08:56:17Z,200,3.6
1782550578,2026-06-27T08:56:18Z,200,5.6
1782550579,2026-06-27T08:56:19Z,200,7.7
1782550580,2026-06-27T08:56:20Z,200,11.3
1782550581,2026-06-27T08:56:21Z,200,6.5
1782550582,2026-06-27T08:56:22Z,200,3.1
1782550583,2026-06-27T08:56:23Z,200,4.5
1782550584,2026-06-27T08:56:24Z,200,8.1
1782550585,2026-06-27T08:56:25Z,200,4.1
1782550586,2026-06-27T08:56:26Z,200,3.7
1782550587,2026-06-27T08:56:27Z,200,4.1
1782550588,2026-06-27T08:56:28Z,200,5.1
1782550589,2026-06-27T08:56:29Z,200,3.3
1782550590,2026-06-27T08:56:30Z,200,2.4
1782550591,2026-06-27T08:56:31Z,200,3.3
1782550592,2026-06-27T08:56:32Z,200,3.2
1782550593,2026-06-27T08:56:33Z,200,4.1
1782550594,2026-06-27T08:56:34Z,200,7.3
1782550595,2026-06-27T08:56:35Z,200,3.6
1782550596,2026-06-27T08:56:36Z,200,2.7
1782550597,2026-06-27T08:56:37Z,200,3.3
1782550598,2026-06-27T08:56:38Z,200,3.1
1782550599,2026-06-27T08:56:39Z,200,4.7
1782550600,2026-06-27T08:56:40Z,200,3.1
1782550601,2026-06-27T08:56:41Z,200,6.3
1782550602,2026-06-27T08:56:42Z,200,11.2
1782550603,2026-06-27T08:56:43Z,200,4.0
1782550604,2026-06-27T08:56:44Z,200,7.0
