Linux 7.0.0-22-generic (coding2fun-ThinkPad-E14-Gen-6) 	06/25/2026 	_x86_64_	(12 CPU)

10:38:35 PM   UID       PID   cswch/s nvcswch/s  Command
10:38:36 PM  1000     15084      0.00      0.00  java
10:38:37 PM  1000     15084      0.00      0.00  java
10:38:38 PM  1000     15084      0.00      0.00  java
10:38:39 PM  1000     15084      0.00      0.00  java
10:38:40 PM  1000     15084      0.00      0.00  java
10:38:41 PM  1000     15084      0.00      0.00  java
10:38:42 PM  1000     15084      0.00      0.00  java
10:38:43 PM  1000     15084      0.00      0.00  java
10:38:44 PM  1000     15084      0.00      0.00  java
10:38:45 PM  1000     15084      0.00      0.00  java
10:38:46 PM  1000     15084      0.00      0.00  java
10:38:47 PM  1000     15084      0.00      0.00  java
10:38:48 PM  1000     15084      0.00      0.00  java
10:38:49 PM  1000     15084      0.00      0.00  java
10:38:50 PM  1000     15084      0.00      0.00  java
10:38:51 PM  1000     15084      0.00      0.00  java
10:38:52 PM  1000     15084      0.00      0.00  java
10:38:53 PM  1000     15084      0.00      0.00  java
10:38:54 PM  1000     15084      0.00      0.00  java
10:38:55 PM  1000     15084      0.00      0.00  java
10:38:56 PM  1000     15084      0.00      0.00  java
10:38:57 PM  1000     15084      0.00      0.00  java
10:38:58 PM  1000     15084      0.00      0.00  java
10:38:59 PM  1000     15084      0.00      0.00  java
10:39:00 PM  1000     15084      0.00      0.00  java
10:39:01 PM  1000     15084      0.00      0.00  java
10:39:02 PM  1000     15084      0.00      0.00  java
10:39:03 PM  1000     15084      0.00      0.00  java
Average:     1000     15084      0.00      0.00  java
