Linux 7.0.0-22-generic (coding2fun-ThinkPad-E14-Gen-6) 	06/25/2026 	_x86_64_	(12 CPU)

10:41:31 PM   UID       PID   cswch/s nvcswch/s  Command
10:41:32 PM  1000     15601      0.00      0.00  java
10:41:33 PM  1000     15601      0.00      0.00  java
10:41:34 PM  1000     15601      0.00      0.00  java
10:41:35 PM  1000     15601      0.00      0.00  java
10:41:36 PM  1000     15601      0.00      0.00  java
10:41:37 PM  1000     15601      0.00      0.00  java
10:41:38 PM  1000     15601      0.00      0.00  java
10:41:39 PM  1000     15601      0.00      0.00  java
10:41:40 PM  1000     15601      0.00      0.00  java
10:41:41 PM  1000     15601      0.00      0.00  java
10:41:42 PM  1000     15601      0.00      0.00  java
10:41:43 PM  1000     15601      0.00      0.00  java
10:41:44 PM  1000     15601      0.00      0.00  java
10:41:45 PM  1000     15601      0.00      0.00  java
10:41:46 PM  1000     15601      0.00      0.00  java
10:41:47 PM  1000     15601      0.00      0.00  java
10:41:48 PM  1000     15601      0.00      0.00  java
10:41:49 PM  1000     15601      0.00      0.00  java
10:41:50 PM  1000     15601      0.00      0.00  java
10:41:51 PM  1000     15601      0.00      0.00  java
10:41:52 PM  1000     15601      0.00      0.00  java
10:41:53 PM  1000     15601      0.00      0.00  java
10:41:54 PM  1000     15601      0.00      0.00  java
10:41:55 PM  1000     15601      0.00      0.00  java
10:41:56 PM  1000     15601      0.00      0.00  java
10:41:57 PM  1000     15601      0.00      0.00  java
10:41:58 PM  1000     15601      0.00      0.00  java
10:41:59 PM  1000     15601      0.00      0.00  java
Average:     1000     15601      0.00      0.00  java
