Linux 7.0.0-22-generic (coding2fun-ThinkPad-E14-Gen-6) 	06/25/2026 	_x86_64_	(12 CPU)

10:40:03 PM   UID       PID   cswch/s nvcswch/s  Command
10:40:04 PM  1000     15380      0.00      0.00  java
10:40:05 PM  1000     15380      0.00      0.00  java
10:40:06 PM  1000     15380      0.00      0.00  java
10:40:07 PM  1000     15380      0.00      0.00  java
10:40:08 PM  1000     15380      0.00      0.00  java
10:40:09 PM  1000     15380      0.00      0.00  java
10:40:10 PM  1000     15380      0.00      0.00  java
10:40:11 PM  1000     15380      0.00      0.00  java
10:40:12 PM  1000     15380      0.00      0.00  java
10:40:13 PM  1000     15380      0.00      0.00  java
10:40:14 PM  1000     15380      0.00      0.00  java
10:40:15 PM  1000     15380      0.00      0.00  java
10:40:16 PM  1000     15380      0.00      0.00  java
10:40:17 PM  1000     15380      0.00      0.00  java
10:40:18 PM  1000     15380      0.00      0.00  java
10:40:19 PM  1000     15380      0.00      0.00  java
10:40:20 PM  1000     15380      0.00      0.00  java
10:40:21 PM  1000     15380      0.00      0.00  java
10:40:22 PM  1000     15380      0.00      0.00  java
10:40:23 PM  1000     15380      0.00      0.00  java
10:40:24 PM  1000     15380      0.00      0.00  java
10:40:25 PM  1000     15380      0.00      0.00  java
10:40:26 PM  1000     15380      0.00      0.00  java
10:40:27 PM  1000     15380      0.00      0.00  java
10:40:28 PM  1000     15380      0.00      0.00  java
10:40:29 PM  1000     15380      0.00      0.00  java
10:40:30 PM  1000     15380      0.00      0.00  java
10:40:31 PM  1000     15380      0.00      0.00  java
Average:     1000     15380      0.00      0.00  java
