epoch,iso,http_code,latency_ms
1782539792,2026-06-27T05:56:32Z,200,257.1
1782539793,2026-06-27T05:56:34Z,200,5.4
1782539795,2026-06-27T05:56:35Z,200,6.0
1782539796,2026-06-27T05:56:36Z,200,5.2
1782539797,2026-06-27T05:56:37Z,200,2.8
1782539798,2026-06-27T05:56:38Z,200,9.5
1782539799,2026-06-27T05:56:39Z,200,5.1
1782539800,2026-06-27T05:56:40Z,200,6.1
1782539801,2026-06-27T05:56:41Z,200,5.1
1782539802,2026-06-27T05:56:42Z,200,2.9
1782539803,2026-06-27T05:56:43Z,200,3.7
1782539804,2026-06-27T05:56:44Z,200,6.3
1782539805,2026-06-27T05:56:45Z,200,7.5
1782539806,2026-06-27T05:56:46Z,200,3.0
1782539807,2026-06-27T05:56:47Z,200,3.1
1782539808,2026-06-27T05:56:48Z,200,4.3
1782539809,2026-06-27T05:56:49Z,200,5.8
1782539810,2026-06-27T05:56:50Z,200,5.5
1782539811,2026-06-27T05:56:51Z,200,3.3
1782539812,2026-06-27T05:56:52Z,200,6.1
1782539813,2026-06-27T05:56:53Z,200,6.2
1782539814,2026-06-27T05:56:54Z,200,8.5
1782539815,2026-06-27T05:56:55Z,200,5.1
1782539816,2026-06-27T05:56:56Z,200,5.0
1782539817,2026-06-27T05:56:57Z,200,7.8
1782539818,2026-06-27T05:56:58Z,200,9.7
1782539819,2026-06-27T05:56:59Z,200,3.3
1782539820,2026-06-27T05:57:00Z,200,4.5
1782539821,2026-06-27T05:57:01Z,200,4.6
1782539822,2026-06-27T05:57:02Z,200,5.6
1782539823,2026-06-27T05:57:03Z,200,5.0
1782539824,2026-06-27T05:57:04Z,200,7.8
1782539825,2026-06-27T05:57:05Z,200,3.5
1782539826,2026-06-27T05:57:06Z,200,6.0
1782539827,2026-06-27T05:57:08Z,200,6.6
1782539829,2026-06-27T05:57:09Z,200,3.7
1782539830,2026-06-27T05:57:10Z,200,2.7
1782539831,2026-06-27T05:57:11Z,200,8.0
1782539832,2026-06-27T05:57:12Z,200,4.4
1782539833,2026-06-27T05:57:13Z,200,4.5
1782539834,2026-06-27T05:57:14Z,200,4.0
1782539835,2026-06-27T05:57:15Z,200,3.9
1782539836,2026-06-27T05:57:16Z,200,8.6
1782539837,2026-06-27T05:57:17Z,200,2.8
1782539838,2026-06-27T05:57:18Z,200,2.8
1782539839,2026-06-27T05:57:19Z,200,7.4
1782539840,2026-06-27T05:57:20Z,200,9.6
